text,line_type
and other agencies will continue to be limited to  sometimes referred to as function creep. I,both
those authorised under the very strict secrecy     recall that I stopped using the term 'tax,both
provisions of the tax law.                         creep' because people thought I was talk-,both
                                                   ing personally of the Treasurer. 'Function,secondColumnOnly
And fourthly:                                      creep' is not a new designation for the,both
"                                                   Minister for Social Security, but it does",secondColumnOnly
The new measures are designed solely to help       adequately mirror what seems to be oc-,both
reduce tax evasion.                                curring as there is a steadily evolving,both
                                                   creeping process in which the Govern-,secondColumnOnly
In the debate on the 1988 taxation legis-          ment involves itself more. In light of these,both
"lation, the Treasurer gave similar assur-          what can only be described as somewhat",both
"ances to the House and, on 1 September             insidious developments, the Opposition",both
"1988, he had this to say:                          has taken the view that the powers of the",both
                                                   Privacy Commissioner need to be bols-,secondColumnOnly
No other government or non-government agency       tered if he is to be an effective privacy,both
will have access to the Tax Office file number     watchdog. It is no good setting up a Pri-,both
"registration system . . .                          vacy Commissioner, giving undertakings",both
                                                   to the Australian people and then so con-,secondColumnOnly
"Just by reading those quotes, one can see          straining him in-his actions that he can-",both
the appalling record-a record which now            not ensure that their privacy concerns are,both
looks like a string of broken promises.            investigated.,both
,lineBreak
The tax file number system arose out              The Senate Standing Committee on,both
"of, of course, the heated debate on the            Legal and Constitutional Affairs,- which",both
proposal by Labor to introduce an Aus-             was charged with the task of examining,both
"tralia Card, and the community rejected            this legislation, in its recent report enti-",both
this proposal outright. In a submission to         tled The Proposed Tax File Number Pro-,both
"the Senate Standing Committee on Legal             vision and Data-Matching Program, stated:",both
"and Constitutional Affairs, the Privacy",firstColumnOnly
Commissioner analysed the similarities             . . . some members of the Committee felt that,both
between these most recent extensions of            the statutory provisions which govern the office,both
the tax file number system and the origi-,firstColumnOnly
"nal Australia Card proposal, and there",firstColumnOnly
appears to be only one significant differ-,firstColumnOnly
"ence. That is that, at the moment, there",firstColumnOnly
is a separation of data held in the taxation,firstColumnOnly
and social ~ecurity area and data held by,firstColumnOnly
the Health Insurance Commission relat-,firstColumnOnly
4912 REPRESENTATIVES 21 December 1990           Data-Matching Program Bill,pageBreak
,lineBreak
of Privacy Commissioner unduly limited his in-  ment to embark on the most sophisticated,both
dependence . . .                                high technology fishing expedition that the,both
                                                law in normal circumstances does not,secondColumnOnly
A stronger and more independent com-            allow.,both
"missioner can only. lead to Parliament,",firstColumnOnly
"and therefore the public, being better in-         Dr Kemp-They have shown an appall-",both
formed of governmental practices which          ing lack of concern.,both
interfere with the right to privacy. I know,firstColumnOnly
that some people think that sometimes I            Mr PEACOCK-As the honourable,both
"and others go on a little too much about        member for Goldstein would know, it is",both
the right to privacy. They talk about the       not in their mind. The nature of these,both
"need to get in the revenue and to protect       people, for all that they seem to blur it, is",both
it. I am aware of protecting the revenue.       for government control. Government in-,both
Governments do not have money; money            trusion is part of their philosophic atti-,both
"only comes from taxpayers. Or, if govern-       tude.",both
"ments borrow money, taxpayers end up",firstColumnOnly
footing the bill in terms of the interest to       Mr Sciacca-It is not.,both
be paid. It is not government's money but          Mr PEACOCK-The honourable,both
people's money that has to be protected.        member for Bowman would not know.,both
                                                Any man who sits on a Greek island and,secondColumnOnly
But so too do people's rights have to be      rings a radio station to establish that he,both
protected. There is an inclination on the       is alive is hardly a major contributor to,both
"part of this Government to sweep aside          the debate in this Parliament. In fact, it",both
what has been hundreds of years of strug-       was only when I read that he had done,both
gle on the part of many to ensure that the      that that his name was brought to my,both
sort of freedom under the system of law         attention. As in a phrase I used the other,both
"that we have today is not just swept aside.     day, he is hardly a statesman-like charac-",both
"Every time we erode the freedom, the            ter whose name is on the lips of all Aus-",both
privacy and the liberty of individuals by       tralians if the only way he can get,both
"legislation, as occurred in the original draft  recognised is by lying about on a Greek",both
"of the Bill, we take an appalling step          island while his constituents complain that",both
backwards. There has been much blood            he is not looking after their welfare. It,both
and much treasure spent in centuries past       surprises me not that he would interject,both
to get us to a situation where- men and         on a matter concerning the individual lib-,both
women in this country can go about their        erties of people in this country.,both
"lives uncoerced by those in authority con-        The honourable member for Goldstein,",both
stantly intruding on their affairs.             who has a sensitivity to these sorts of,both
                                                issues which the honourable member for,secondColumnOnly
Any honourable member or honourable           Bowman would not comprehend or even,both
"senator who allows legislation to protect       feel, recognises the importance of the pro-",both
the revenue to override those concerns          visions that we have attached to this leg-,both
does a disservice not only to himself and       islation in the Senate. I remind him that,both
to his constituents but also to so many         it is only because we have addressed these,both
who have contributed to more sophisti-          privacy concerns and have got the sup-,both
cated civilisations which believe in the        port of the Australian Democrats on this,both
freedom of the individual and his rights        occasion that we are able to support this,both
and opportunities under the freedom of          Bill that now strikes that appropriate bal-,both
law. The question of privacy is not some        ance between saving the revenue and safe-,both
"academic notion. There is just no right         guarding liberty, freedom and privacy.",both
"on the part of government to intrude into         Because of the interjections, perhaps I",both
"citizens' affairs, unless there are circum-     ought to stay on this track a little longer.",both
stances prima facie that warrant it.            In order to appreciate the dramatic pri-,both
                                                vacy implications that data matching may,secondColumnOnly
"If we allow legislation like this to go       have, it is probably necessary to consider",both
through without the sorts of checks that        how such programs operate. In the discus-,both
"can be vested in the Privacy Commis-            sion I referred to earlier, the Privacy",both
sioner and with the technology that is,firstColumnOnly
"available today, we really allow govern-",firstColumnOnly
Data-Matching Program Bill  21 December 1990 REPRESENTATIVES 4913,pageBreak
,lineBreak
Commissioner defined data matching as               there is the issue of data profiling involv-,both
involving the following:                            ing the compilation of dossiers of infor-,both
                                                    mation on individuals based upon,secondColumnOnly
. . . the systematic comparison (usually by com-    information that has been collected from,both
"puters) of two or more sets of systems of personal  different sources; and, fourthly, once a",both
data collected for separate administrative pur-     data matching program has been con-,both
"poses with a view to isolating any data items       ducted, there are questions involving nat-",both
warranting further action ...                       ural justice and the rights that individuals,both
                                                    should have to challenge the accuracy of,secondColumnOnly
The Commissioner has described the                  the results of such processes.,both
measures which are under consideration,firstColumnOnly
today as representing 'an extremely com-              The amendments that this Bill will make,both
plex form of matching . . . at the fore-            to the Privacy Act will ensure that these,both
front of matching techniques anywhere in            issues are properly addressed. Further-,both
"the world'. That is a pretty substantial            more, the Bill as amended contains a sun-",both
statement by the Privacy Commissioner.              set clause to take effect from two years,both
"In other words, there could not be a more           after commencement. Should it turn out",both
sophisticated means of matching personal            that these data matching programs do not,both
data on citizt(ns than has been provided            achieve the desired revenue savings and,both
for. The fundamental premise of the Pri-            involve an undue interference with pri-,both
"vacy Act and information privacy princi-            vacy, they will be brought to an end. It is",both
ples is that information provided by                worth noting that it was only by a major-,both
citizens to government should be used               ity that the Senate Standing Committee,both
only for the purpose for which it is pro-           on Legal and Constitutional Affairs. con-,both
"vided. However, the essence of data                 cluded that the extension of the tax file",both
matching is to allow information to be              number system into the social security,both
used for purposes other than that for               system was warranted in the present cir-,both
which it was originally intended to be              cumstances.,both
used.,firstColumnOnly
                                                      The former Canadian Privacy Commis-,secondColumnOnly
"The Privacy Commissioner has de-                  sioner, a Dr John Grace, has described",both
scribed data matching techniques as being           data matching as an 'insidious threat' to,both
akin to:                                            privacy. In 1983 he said that data match-,both
                                                    ing:,secondColumnOnly
. . . investigators entering a home without any,firstColumnOnly
"warrant or prior suspicion, taking away some or     . . . is a far reaching insidious threat to the way",both
"all of the contents, looking at them, keeping what  our society thinks and works . . . The Privacy",both
"is of interest and returning the rest, all without  Commissioner must challenge computer match-",both
the knowledge of the occupier.                      ing as a tool even to achieve desirable goals.,both
                                                    Another reason why computer matching is wrong,secondColumnOnly
"That is not a bad statement by the Pri-             is more subtle, yet more dangerous for that. The",both
"vacy Commissioner, for whom I have in-              technique can turn the presumption of innocence",both
creasing respect.                                   into a presumption of guilt . . . A computer,both
                                                    match is instigated not because a particular per-,secondColumnOnly
Dr Kemp-They are very strong words.               son is suspected of a fraud-as in a traditional,both
"Mr PEACOCK-I agree with the                       investigation, but because a whole class or group",both
honourable member-for Goldstein. There              of persons has come to the attention of Govern-,both
could not be a stronger statement in terms          ment for either good or frivolous reasons. Thus,both
"of the way in which one could relate by             do old-fashioned ""fishing expeditions"" pose as",both
analogy what is being provided for. The             high technology.,both
privacy issues involved in data matching,firstColumnOnly
"can be grouped into four stages: first, there       The Australian Law Reform Commission",both
is the threshold issue of information which         in its 1983 report on privacy expressed,both
is collected and used for one purpose being         similar concerns with data matching,both
"used for another purpose without the con-           methods, describing such methods as being",both
sent of the provider of the information;            akin to 'the general warrant once used to,both
"secondly, there is the question of whether          search houses without discrimination or",both
the quality of the sets of data is of such a        reasonable cause'.,both
standard that it would ensure that the,firstColumnOnly
"matching process will be accurate; thirdly,",firstColumnOnly
4914 REPRESENTATIVES 21 December 1990          Data-Matching Program Bill,pageBreak
,lineBreak
Having canvassed the privacy issues that    and section 32 relates to the power of the,both
are involved with data matching pro-           Commissioner to report on any govern-,both
"grams, I want to consider some of the          mental activities which he believes may",both
"principal provisions of part 3 of the Bill,    have any adverse effects on the privacy of",both
which are designed to strengthen the pow-      individuals.,both
ers of the Privacy Commissioner and give,firstColumnOnly
"Parliament a greater say in these matters.        Furthermore, as I mentioned earlier, the",both
A number of changes are to be made to          Commissioner will have power to issue,both
"section 27 of the Privacy Act, which is        binding guidelines pursuant to the data-",both
the section that sets out the functions of     matching Bill which must be complied,both
the Commissioner. Under the amend-             with by agencies when carrying out data,both
"ments, the Commissioner will be empow-         matching programs. A breach of those",both
"ered to examine proposed enactments,           guidelines will be treated for the purposes",both
with or without a request from a Minis-        of section 13 of the Privacy Act as an,both
"ter, which may involve an interference         interference with privacy. The Commis-",both
with the privacy of individuals or which       sioner will be able to investigate any com-,both
may otherwise have an adverse effect on        plaints that individuals may make about,both
the privacy of individuals. At the moment      an alleged breach of those guidelines. The,both
the Commissioner is restricted to exam-        effect of these provisions will be to give,both
ining such enactments upon a specific re-      the Commissioner a higher profile in the,both
quest from a Minister and is also confined     public debate in this area in order to,both
to examining enactments involving 'an in-      promote greater awareness of privacy is-,both
terference with the privacy of individu-       sues.,both
"als', a phrase which has a specific limited",firstColumnOnly
meaning under section 13 of the Privacy           The ever intrusive powers of govern-,both
"Act, relating to the Commissioner's pow-       ment are, as I have indicated, a matter of",both
ers to investigate certain acts or practices.  great concern to all Australians. As I men-,both
"tioned earlier, in reference to the submis-",both
Similar changes are also to be made         sion I made to the Privacy Commissioner,both
"with respect to the power of the Commis-       on data matching, there is a strong need",both
"sioner to examine Government proposals         for the existing regime, which purports to",both
"for data matching programs. The Com-           protect privacy, to be reviewed. When we",both
missioner will be empowered to issue           look at the legislative checks and balances,both
binding guidelines under the data-match-       on governmental power contained in the,both
ing Bill to monitor and report upon the        Privacy Act and the Freedom of Infor-,both
"adequacy of equipment and user safe-           mation Act, we can see that the current",both
guards that are involved in data matching      regime really developed out of the system,both
programs and to report on any matter           of government which operated on a pa-,both
that concerns the need for legislative and/    per-based administration. There is a dras-,both
or administrative action to be taken in        tic need for that regime to be reviewed in,both
the interests of the privacy of individuals.   light of developments in information,both
Changes are also to be made to sections        technology. I trust the Attorney-General-,both
"31 and 32 of the Privacy Act, the effect       who does not have primary responsibility",both
"of which will be that, when the Commis-        for the passage of this Bill but who is",both
sioner provides a report to the Attorney-      responsible for the Privacy Act-with all,both
"General pursuant to those sections, the        the resources at his disposal, will ensure",both
"Commissioner will have a discretion, if        that the privacy of all Australians is ade-",both
he believes it is in the public interest to    quately protected by Federal law.,both
"do so, to provide a further follow-up re-",firstColumnOnly
port to the Attorney which is to be pre-         In 1983 the Australian Law Reform,both
"sented to Parliament. Section 31 relates       Commission, in its report on privacy, ex-",both
to reports that the Commissioner may           amined existing Commonwealth laws that,both
compile following examination of pro-          sought to protect individual rights of pri-,both
posed enactments that may have adverse         vacy vis-a-vis the collection of informa-,both
"effects upon the privacy of individuals        tion by governments. In passing, the",both
Commission made the following com-,both
ments:,both
Data-Matching Program Bill  21 December 1990 REPRESENTATIVES 4915,pageBreak
,lineBreak
"The indeterminate future privacy risks posed for        In conclusion, we in the Opposition are",both
the subject could never have been envisaged by       prepared to support the changes that the,both
"the drafters of most secrecy provisions in legisla-  Government intends, but we do so on the",both
tion authorising collection of information by-       basis of the amendments that we moved,both
government authorities.                              in the Senate to ensure the privacy of,both
                                                     individuals. Having done so in regard to,secondColumnOnly
"That was 1983. In 1988 Parliament passed             this particular piece of legislation, we re-",both
the Privacy Act to address the deficiencies          mind people that much needs to be done,both
"that had been identified in the law. Now,            in terms of privacy and safeguards for the",both
"only two years later, it can be seen that            future if we are to ensure that. our laws",both
much more work needs to be done for us               properly protect the privacy of Austra-,both
to be confident that the law is providing            lians.,both
adequate protection for the privacy of,firstColumnOnly
Australians. There is a dramatic and ur-                I understand the agitation of the Parlia-,both
gent need for such a review in light of              mentary Secretary to the Minister for So-,both
"these technological developments. In evi-            cial Security (Mr Sciacca) earlier because,",both
"dence to the Senate Standing Committee,              trying to be fair on these accounts, I sup-",both
"the then Minister for Social Security, the           pose the position is summed up by saying",both
Minister for Commmunity Services and                 that it is easy to tip from one side to the,both
"Health (Mr Howe), conceded that a pro-               other in terms of either the pursuit of",both
gram such as the one presently under con-            revenue or the privacy of the individual.,both
"sideration has largely come about due to             It is easy to state the theoretical case, but",both
"developments in information technology.              I say to the Government that, if it is so",both
"The Minister said:                                   possessed with protecting the revenue, it",both
                                                     should keep in mind at all times that it is,secondColumnOnly
The main reason why we have gone further is          a question of striking an appropriate bal-,both
that we can get the technology to do something       ance. We should be careful of any pro-,both
that we could not obtain several years ago.          posal that increases the powers of,both
                                                     government at the expense of individual,secondColumnOnly
It is of little comfort for Australians to           liberty. Many have written and warned in,both
know that this Government finds it con-              this arena. I have simply added my voice,both
venient to break its promises simply be-             today. By the amendments that were suc-,both
"cause it has the technical know-how to do            cessfully moved in the Senate, we at least",both
so.                                                  have ensured effective privacy provisions,both
"                                                     in terms of the current data matching, but",secondColumnOnly
Some other examples of government                  there is much more to be done.,both
proposals which have a significant impact,firstColumnOnly
upon privacy and which come about be-                  Ms CRAWFORD (Forde) (10.30)-1,both
cause of recent changes in technology in-            listened with interest to the discussion by,both
clude the proposed law enforcement                   the honourable member for Kooyong (Mr,both
administrative network and the system of             Peacock) on the Data-matching Program,both
computerised financial reporting estab-              (Assistance and Tax) Bill and take up his,both
lished by the Cash Transaction Reports               concerns on privacy. But I point out to,both
Act of 1988.                                         him that the Privacy Commissioner has,both
                                                     said about the regulations in this data,secondColumnOnly
"It is imperative that Parliament, as law-          matching Bill that the provisions fall well",both
makers and as those charged with being               short of a general purpose government,both
"the custodians of civil liberties, be kept           and community number. I think we need",both
abreast of these developments. The pace              to bear that in mind at all times.,both
of changes in computerised technology has,firstColumnOnly
outstripped the legal protection afforded              The other thing which the honourable,both
to citizens. This is particularly pertinent          member failed to address is the aim of,both
when one bears in mind the claims of                 the Bill. What does it set out to do? Why,both
"computer experts that, in light of current           is it introduced? What do we hope to",both
"technologies, it is not necessary for there          achieve through it? The data matching",both
to be a central databank in order for ad-            Bill attempts to verify independently and,both
ministrators to piece together a total in-           automatically the accuracy of figures of,both
formation profile on any individual.,firstColumnOnly
4916 REPRESENTATIVES 21 December 1990          Data-Matching Program Bill,pageBreak
,lineBreak
individual client and parental income dis-     that $81m was saved last year through,both
closed to agencies which make income           payments being cancelled and reduced in,both
"support payments.                              amount for taxpayers, I am sure that the",both
taxpayers of Australia are delighted at the,both
The Department of Social Security is         efficiency and fairness of a government,both
responsible for payment of social security     department which pursues the interests of,both
entitlements to over four million Austra-      all Australians and so enables our tax dol-,both
"lians. It costs the taxpayer $21 billion a     lar to be spent properly, to be accounted",both
"year. With such a charter, the Department      for, by giving those people who need it",both
must deliver social security entitlements      and can prove they require it their full,both
"with fairness, courtesy and efficiency. The    entitlement.",both
Government must ensure that money is,firstColumnOnly
ndt wasted and that taxpayers' money is          We have heard much discussion on who,both
well spent. So data matching will in fact      is going to have to supply the data and,both
"help to detect instances where persons are     the tax file number. Of course, it will be",both
"possibly receiving incorrect payments from     done across a series of departments, but",both
an income support agency because they          we also have to remember that this data,both
"and their partner, children or their par-      is not centrally based and agencies will",both
ents are already receiving such payments       maintain their specified data. The Depart-,both
from the same or another agency which          ment of Social Security will have details,both
should have been disclosed but have not;       of persons and payments under the Social,both
"or, in the case of sole parent clients, they   Security Act. The Department of Employ-",both
"and their partner are receiving home           ment, Education and Training will have",both
owner grant payments on the basis of a         details of persons in receipt of student,both
married relationship. This element is          assistance payments. The Department of,both
sometimes called double dipping.               Veterans' Affairs will be responsible for,both
its own clients. The Department of Com-,both
It is important for all of us to acknowl-    munity Services and Health will be re-,both
edge and recognise that targeting must be      sponsible for those people currently under,both
"the key to the work done by the social         the first home owners scheme. Of course,",both
security payments. Such payments are in-       the Australian Taxation Office will be re-,both
"deed the right of citizens, be they aged,      sponsible for those people who are tax-",both
"invalid, family or sole parent payments.       payers. So we see a series of departments",both
"Within the Australian community, we            and groups of departments maintaining",both
"have decided that such payments are a          their integrity and their own records, and",both
right.                                         ensuring that they all operate efficiently,both
and effectively.,both
"However, we must also ensure that those",firstColumnOnly
people who have the right are treated fairly     We also see emphasis in the Bill on,both
and not discriminated against and talked       persons receiving income support pay-,both
"about in common jargon. Let me assure          ments. Not only is non-compliance,",both
"the honourable members on the other side       whether deliberate or not, likely to be",both
"that it is those people who welcome-the        detected, but also penalties are associated",both
"kind of changes that occur here so that        with it, including repayment of the money",both
"their honesty and integrity are acknowl-       owing as soon as possible and, of course,",both
"edged and maintained within the com-           in some cases, prosecution. I think many",both
munity and so they are not subjected to        of us view such fra4d through the social,both
the taunts of many people in our com-          security system-and rightly so-as the,both
munity who see them as bludgers and            equivalent of theft. Why do we send bank,both
"cheats. Hopefully, this Bill will ensure that  robbers and other people who steal money",both
such people who attempt to defraud the         to gaol but it is seen to be all right to,both
"system, who attempt to double dip and          defraud taxpayers' money and it is some-",both
attempt to get benefits to which they are      how quite smart to be able to do so? After,both
"not entitled do not do so.                     all, it is only the Government's money.",both
"Unfortunately, the Governmen,t's money",both
"While the honourable member for              is our money, taxpayers' money, and there",both
Kooyong may well dispense with the fact,firstColumnOnly
Data-Matching Program Bill  21 December 1990 REPRESENTATIVES 4917,pageBreak
,lineBreak
is a responsibility on all of us to ensure      and recognised by a Social Security office,both
that it is spent in the best possible way.      which knows they are not cheating and,both
So I repeat that data matching and the          have no income which they can minimise.,both
integrity which it gives to clients will en-    These people do not say one thing to one,both
sure that they are treated with integrity       department and another to another. These,both
"and honesty. It is those people, more than      people do not skulk off, get jobs and cash",both
"anybody, who wish to pursue cheats.             under the counter and then make claims",both
                                                the next day at the Department of Social,secondColumnOnly
We have all sorts of anecdotal evidence.     Security. Those people who unfortunately,both
We have heard Opposition members talk           are in receipt of benefits are delighted that,both
"about government waste. But as soon as          data matching is to be introduced, be-",both
Bills are introduced which attempt to ad-       cause they see it as a system which will,both
"dress this waste, which seek to save tax-       ensure that integrity will be maintained.",both
payers' money and which seek to pursue,firstColumnOnly
those people attempting to defraud the             What will happen? How will data be,both
"system, those people attempting to double       verified? We have heard much about the",both
"dip, then issues are raised which are not       concerns of privacy, but what will actually",both
directly related.                               happen? New claimants for most DSS,both
                                                payments are required to provide docu-,secondColumnOnly
"We all have concerns about privacy,          ments which establish their identity. There",both
freedom of the individual and the ques-         must necessarily be a range of options,both
"tion of authority, but I remind honour-         available so that the non-availability of",both
"able members that, while there is a fine        particular types of documents does not of",both
"line, the responsibility of every individual    itself preclude payments being made.",both
is to ensure that what he or she does and,firstColumnOnly
offers is proper and correct. So those             I know that very many Opposition,both
people who pay their taxes-and usually          members find it difficult to believe that,both
"it is the pay as you earn taxpayers, who        there are people who actually have very",both
have no means of minimising their in-           few identifying papers. Honourable mem-,both
come-and those people who have justi-           bers may remember that only recently I,both
fiable and proper claims within any of our      spoke of groups of Aboriginal people who,both
government departments have nothing to          haye no birth certificates. Opposition,both
fear. The Privacy Commissioner has al-          members may be surprised to know that,both
"ready confirmed that and, of course, the        there are people who do not have driving",both
"regulations in this Bill cover that. The        licences or credit cards. In fact, there are",both
integrity of government departments has         many who have no bank accounts. Op-,both
been maintained over a long period. The         position members should see the parade,both
provisions that are laid down in that re-       through my office sometimes on a Mon-,both
gard have been maintained.                      day morning of a series of battered wives,both
"                                                whose husbands have dragged them, the",secondColumnOnly
What then is the question? Do we see          furniture and everything they own into a,both
an Opposition which is frightened to em-        bonfire in the backyard during a drunken,both
bark on a scheme whereby approximately          rage on the Sunday. They-also do not,both
$300m of taxpayers' money will be saved         have identification papers. This kind of,both
in the long term? What is the difficulty?       material offers them a very real opportu-,both
Is this too difficult a question? I deal daily  nity to prove who they are and to allow,both
with large numbers of social security re-       identity details to be real without their,both
cipients in an area of heavy social disad-      being humiliated. The whole range of,both
"vantage-through, I might add, years of          sources which this information provides",both
neglect by a State government as a result       is important and an integral part of,both
of a lack of socioeconomic and social in-       ensuring the integrity of the system.,both
frastructure. I deal with people whose in-,firstColumnOnly
tegrity is never questioned and who are           I also draw to the attention of the House,both
in fact delighted to have an identifying        the changes that will result from the pur-,both
"number, a tax file number, which says           suing of cheats and others. As part of a",both
who they are and shows that they have           review program in which 15.7 million,both
"rights and entitlements, who are known          items of changed data were processed, re-",both
4918 REPRESENTATIVES 21 December 1990        Data-Matching Program Bill,pageBreak
,lineBreak
"gional officers selected more than 90,000    very real fear. It is not a question of the",both
items to follow up. What happened? One       role of privacy of individuals or the role,both
hundred and ninety-three new applica-        of authority; it is simply a question of,both
"tions were stopped; 2, 600 cases already     cheats being caught-the tax evaders. In",both
being paid were cancelled; 447 cases being   the early 1980s all of us can recall going,both
paid were reassessed and downgraded;         to parties where it was very smart to sug-,both
"1,500 new overpayments were identified;      gest that one was evading tax. It has taken",both
"and 11,000 cases where overpayments          this Hawke Labor Government to turn",both
could have been made were stopped.           that attitude around and educate the com-,both
"Those are enormous savings. Surely as a      munity that if someone evades tax, the",both
"government we are about accountability,      rest of us pay double. We now understand",both
"efficiency and delivering in the most effi-  that and, as a community, have a much",both
cient and fair way to those people in need.  fairer and better tax system because we,both
all have to pay. We know that Opposition,both
Mr Sciacca-Not to cheats.                  members hate the idea because we hear it,both
constantly and daily. The fact that tax,both
Ms eRAWFORD-Definitely not to              rates have dropped and that there will be,both
tax cuts never enters into their discus-,both
"cheats, which is the point which the Op-     sions. What they say is that they under-",both
position has failed to answer. While cer-    stand the net is wider and that people,both
tainly we take on board its concerns about   now have to pay tax. As the tax file num-,both
"privacy and the role of the individual, we   ber continues to be extended, of course",both
also have to balance that with the needs     that is what is happening.,both
"of the individual and the people who, by",firstColumnOnly
"and large, are beneficiaries of the Depart-    The same is also true in this whole data",both
ment of Social Security. They are people     matching process. What we see is an abil-,both
who are most in need of our care and         ity by departments to ensure a delivery of,both
"concern and who most need to be assured      service to those people in need, not to the",both
"of their integrity-that they are being paid  cheats, the bludgers, the people who dou-",both
"justly and fairly and that they are not      ble dip and think it is smart, and not to",both
bludging on the system but have an           those people who make assumptions that,both
entitlement. Imagine the extension of        it is very clever to rip off the government.,both
"payments which can be made to people         After all, it is only the government's",both
through savings of more than $300m.          money. We all know anecdotally what has,both
happened and are delighted to see that,both
I am very interested to note this whole    last year the Department of Social Secur-,both
"question of authority and freedom, and       ity saved $81m. We are hoping, through",both
"the role of the individual which the         the data matching Bill, that it will con-",both
honourable member for Kooyong talked         tinue to save us considerably more money.,both
about. We know what the role of the in-,firstColumnOnly
dividual means to the Opposition. We           What we also find quite extraordinary,both
have already heard that the dismantling      is that we are talking here about the,both
of the whole program of social security is   operation of the Department of Social Se-,both
"part of its operation. The Opposition is     curity, which services four million Austra-",both
"taking an excessive stand in terms of the    lians and has, in company terms, a",both
"nature of the individual-that is, if you     turnover of $21 billion. I assume, then,",both
"cannot do it, you do not get it. In fact,    that our economic managers on the other",both
"what we see is that to those who have,       side of the House would want the most",both
more shall be given. If people are pre-      efficient and accountable operation. Surely,both
pared to queue up at all sorts of grand      that is what we need and are told about-,both
"places, be they St Vincent de Paul, Price    that efficiency management is the key to",both
"Waterhouse or wherever, they mayor they      what should be done.",both
"may not get a voucher, depending on",firstColumnOnly
whether people have paid their tax.            On this side of the House we also talk,both
about accountability. It is a question of,both
"We have all heard the Prime Minister       us all being accountable, whether we are",both
"(Mr Hawke) making comments about tax         individuals, managers in the Department",both
payments being an option. This is the,firstColumnOnly
Data-Matching Program Bill 21 December 1990 REPRESENTATIVES 4919,pageBreak
,lineBreak
"of Social Security or managers in the gov-     scope for greater savings, as is suggested",both
ernment. This Government has never             by some commentators. So $81m in terms,both
shied away from the fact that government       of fraud or overpayments detected last,both
"money is taxpayers' money, Australians'        year might not be the full measure of the",both
"money, and therefore must be account-          problem. We all know from representa-",both
able. Any system which ensures that ac-        tions to our offices of examples that we,both
"countability and fairness are enhanced,        take to the Social Security Department. It",both
equity is pursued in a very real way and       seems to have taken an inordinately long,both
can be pursued through a program and           time to come to grips with what amounts,both
"process such as data matching, must show       to payments which should not be made.",both
initiative and drive-which is important.,firstColumnOnly
                                                  The Bill represents the inevitable exten-,secondColumnOnly
The system is people centred. There is       sion of the use to which the tax file num-,both
"no compulsion on people to become re-          ber (TFN) is to be put, which the coalition",both
cipients of any of these benefits. If people   predicted at the time of its introduction.,both
do not wish to be recipients of these ben-     We said in 1988 that the temptation for,both
"efits, then they are unaffected. However,      the Government to make greater and",both
my understanding and knowledge of hu-          greater use of the tax file number would,both
man nature and of people who need such         be irresistible. More and more govern-,both
"benefits is that they welcome these            ,ment departments would seek access to",both
changes. They embrace them because they        the tax file number in order to crack down,both
know that they are not being marked and        on fraud and evasion of various types and,both
pointed out as people who may be bludg-        generally to make life easier for the bu-,both
ers or cheats. They know that they have        reaucrats. It always seemed inevitable that,both
"entitlements and 'rights, they can prove it    the tax file number would increasingly take",both
"and it is verified for them.                   the form of a national database, a de facto",both
"Australia Card via the back door, unless",both
As departments move into the new sys-        the Parliament remained particularly alert,both
tem of information collection and data         to that possibility.,both
"matching, we welcome such a change be-",firstColumnOnly
cause we know that it will save all Austra-       In 1988 the Treasurer (Mr Keating) gave,both
"lians money and will mean a fairer, more       a firm commitment that the tax file num-",both
equitable and better system. The privacy       ber would only be used by the Australian,both
regulations ensure that the role of govern-    Taxation Office to catch tax cheats. In his,both
"ment and the role of the individual is         press statement of 25 May 1988, to which",both
"adequately protected. More importantly,        the honourable member for Kooyong (Mr",both
it is no longer fashionable or Australian      Peacock) referred but which is worth re-,both
"to defraud, cheat and steal other Austra-      peating again, the Treasurer, solemnly no",both
"lians' money.                                  doubt, said:",both
,lineBreak
Mr ROCHER (Curtin) (10.49)-Hav-              The Tax Office will be the only Government,both
ing listened carefully to the honourable       agency which uses the tax file number for the,both
"member for Forde (Ms Crawford), I be-          purposes of identifying and registering its client",both
"lieve those who have shared that experi-       base , . , The tax file numbering system will be",both
ence with me could be forgiven for             administered exclusively by the Tax Office for,both
thinking that we intended to vote against      tax purposes.,both
the Social Security Legislation Amend-,firstColumnOnly
ment Bill 1990. We could easily adopt the      Since that undertaking was given the,both
opposite view about some of the points         Government has given us a seemingly,both
