text,first_column,second_column,line_type,ordering
"toria, the Pensioners Action Group of         with that comment. I am thankful to the","toria, the Pensioners Action Group of",with that comment. I am thankful to the,both,867
"Western Australia, ADARDS, the Austra-        Minister for providing a clear definition","Western Australia, ADARDS, the Austra-",Minister for providing a clear definition,both,868
"lian Consumers Association, the Aged          of a religious body because the nursing","lian Consumers Association, the Aged",of a religious body because the nursing,both,869
"Care Advocacy and Information Service,        home industry wanted a precise definition","Care Advocacy and Information Service,",home industry wanted a precise definition,both,870
"the Older Persons Rights Service, Geriac-     of that term. Unfortunately, the Minister","the Older Persons Rights Service, Geriac-","of that term. Unfortunately, the Minister",both,871
"tion, the Tenants Union of New South          did not answer some of the questions I","tion, the Tenants Union of New South",did not answer some of the questions I,both,872
"Wales, the Consumers Health Forum, the        raised earlier. For example, what will hap-","Wales, the Consumers Health Forum, the","raised earlier. For example, what will hap-",both,873
Australian Affiliation of Voluntary Care      pen to funding if these documents are not,Australian Affiliation of Voluntary Care,pen to funding if these documents are not,both,874
"Associations, the Australian Nursing          signed for reasons of conscience by some","Associations, the Australian Nursing",signed for reasons of conscience by some,both,875
"Homes Association, the Australian Coun-       of these organisations? In the Senate, Sen-","Homes Association, the Australian Coun-","of these organisations? In the Senate, Sen-",both,876
cil of Trade Unions and the Australian        ator Tate appeared to condone euthana-,cil of Trade Unions and the Australian,ator Tate appeared to condone euthana-,both,877
"Council on the Ageing.                        sia, certainly in compassionate",Council on the Ageing.,"sia, certainly in compassionate",both,878
circumstances. I should like the Minister,circumstances. I should like the Minister,NA,both,879
Mr SPEAKER-Order! The Minister's            to clarify the Government's policy: does,Mr SPEAKER-Order! The Minister's,to clarify the Government's policy: does,both,880
time has expired.                             the Government support compassionate,time has expired.,the Government support compassionate,both,881
"euthanasia and, if so, is the charter of","euthanasia and, if so, is the charter of",NA,both,882
Mr BRAITHWAITE (Dawson)-by                 agreement the thin edge of the wedge as,Mr BRAITHWAITE (Dawson)-by,agreement the thin edge of the wedge as,both,883
"leave-Earlier, Mr Speaker, I omitted to       far as the introduction of euthanasia is","leave-Earlier, Mr Speaker, I omitted to",far as the introduction of euthanasia is,both,884
mention that you chaired the subcommit-       concerned?,mention that you chaired the subcommit-,concerned?,both,885
legislation the rights of residents of nurs-    Mr SPEAKER-Order! I now need to,legislation the rights of residents of nurs-,Mr SPEAKER-Order! I now need to,both,887
ing homes. Being humble in acknowledg-        allow the Minister to respond but the,ing homes. Being humble in acknowledg-,allow the Minister to respond but the,both,888
"ing your position, I thought you might        Chair will not have the debate turned into","ing your position, I thought you might",Chair will not have the debate turned into,both,889
also acknowledge the fact that I too was      a committee debate where there is a dis-,also acknowledge the fact that I too was,a committee debate where there is a dis-,both,890
it member of that subcommittee.               cussion back and forth across the cham-,it member of that subcommittee.,cussion back and forth across the cham-,both,891
"ber. If the Minister wants to respond, I","ber. If the Minister wants to respond, I",NA,both,892
Mr SPEAKER-You were also a mem-            will allow him to do so but the House is,Mr SPEAKER-You were also a mem-,will allow him to do so but the House is,both,893
ber.                                          almost getting to the stage of wasting time.,ber.,almost getting to the stage of wasting time.,both,894
"Mr BRAITHWAITE-Unfortunately,                 Mr STAPLES (Jagajaga-Minister for","Mr BRAITHWAITE-Unfortunately,",Mr STAPLES (Jagajaga-Minister for,both,896
"it has not been widely acknowledged that      Aged, Family and Health Services)-by",it has not been widely acknowledged that,"Aged, Family and Health Services)-by",both,897
the coalition has given the legislation its   leave-I do not believe there is a need,the coalition has given the legislation its,leave-I do not believe there is a need,both,898
"full support right from its inception, be-    for me to respond in any great detail. I","full support right from its inception, be-",for me to respond in any great detail. I,both,899
cause the original review of nursing homes    have made the Government's position on,cause the original review of nursing homes,have made the Government's position on,both,900
was undertaken by the Fraser Govern-          euthanasia very clear: it stands by the law,was undertaken by the Fraser Govern-,euthanasia very clear: it stands by the law,both,901
ment.                                         of this country and has no intention of,ment.,of this country and has no intention of,both,902
"changing that law. Indeed, this is a matter","changing that law. Indeed, this is a matter",NA,both,903
"The Minister for Aged, Family and          that involves State laws on which Senator","The Minister for Aged, Family and",that involves State laws on which Senator,both,904
"Health Services (Mr Staples) referred to a    Tate expressed an opinion and, as such,",Health Services (Mr Staples) referred to a,"Tate expressed an opinion and, as such,",both,905
report detailing the condition of nursing     he is the person with whom the honour-,report detailing the condition of nursing,he is the person with whom the honour-,both,906
homes in Melbourne. I want to place on        able member for Dawson (Mr Braith-,homes in Melbourne. I want to place on,able member for Dawson (Mr Braith-,both,907
record that the nursing home I am a           waite) should discuss this matter. I have,record that the nursing home I am a,waite) should discuss this matter. I have,both,908
councillor of-the one in which my             also made the Government's position on,councillor of-the one in which my,also made the Government's position on,both,909
mother is a resident-like other nursing       this matter clear to the Australian Catho-,mother is a resident-like other nursing,this matter clear to the Australian Catho-,both,910
"homes that are run by private and chari-      lic Bishops Conference, the public and",homes that are run by private and chari-,"lic Bishops Conference, the public and",both,911
"table organisations throughout Australia,     this House.","table organisations throughout Australia,",this House.,both,912
"as the proprietors of those homes are con-       With regard to funding, it is highly un-",as the proprietors of those homes are con-,"With regard to funding, it is highly un-",both,914
cerned the charter of agreement between       likely that people would feel that in all,cerned the charter of agreement between,likely that people would feel that in all,both,915
the resident and proprietor governing         conscience they could not comply with,the resident and proprietor governing,conscience they could not comply with,both,916
rights and responsibilities simply reflects   the charter of agreement. Most people,rights and responsibilities simply reflects,the charter of agreement. Most people,both,917
would realise that this process poses no                  AYES                   NOES,would realise that this process poses no,AYES,both,920
"threat to anyone in Australia and, there-             Wooldridge, M. R. L.   Scott, John","threat to anyone in Australia and, there-","Wooldridge, M. R. L.",both,921
"fore, I do not believe the matter will cause                                 Scott, Les","fore, I do not believe the matter will cause","Scott, Les",both,922
"any concern.                                                                 Simmons, D. W.",any concern.,"Simmons, D. W.",both,923
"Question put:                                                                Snowdon, W. E.",Question put:,"Snowdon, W. E.",both,925
"That the amendment (Mr Braithwaite's) be                                   Theophanous, A. C.",That the amendment (Mr Braithwaite's) be,"Theophanous, A. C.",both,927
"agreed to.                                                                   Tickner, R. E.",agreed to.,"Tickner, R. E.",both,928
"The House divided.                                                           West, S. J.",The House divided.,"West, S. J.",both,930
"(Mr Speaker-Hon. Leo McLeay)                                                 Woods, Harry",(Mr Speaker-Hon. Leo McLeay),"Woods, Harry",both,932
Ayes . . . .                                      60                  PAIRS,Ayes . . . .,60,both,934
"Noes. . . .                                       72  Hewson, J. R.          O'Neil, L. R. T.",Noes. . . .,72,both,936
Majority                                          12     Question so resolved in the negative.,Majority,12,both,939
AYES                       NOES                   ative.,AYES,NOES,both,941
"Aldred, K. J.              Baldwin, P. J.               SOCIAL SECURITY LEGISLATION","Aldred, K. J.","Baldwin, P. J.",both,943
"Anderson, J. D.            Beazley, K. C.                     AMENDMENT BILL 1990","Anderson, J. D.","Beazley, K. C.",both,944
"Bailey, F. E.              Bevis, A. R.                  Consideration resumed from 20","Bailey, F. E.","Bevis, A. R.",both,946
"Beale, J. H.               Bilney, G. N.              December.","Beale, J. H.","Bilney, G. N.",both,947
"Braithwaite, R. A.         Brown, Robert.               Message from the Governor-General","Braithwaite, R. A.","Brown, Robert.",both,949
"Broadbent, R. E.           Campbell, G.               recommending appropriation announced.","Broadbent, R. E.","Campbell, G.",both,950
"Cadman, A. G.                                                           In Committee","Cadman, A. G.",In Committee,both,952
"Cameron, Ewen              Charlesworth, R. I.          Consideration of Senate's amendments.","Cameron, Ewen","Charlesworth, R. I.",both,953
"Cariton, J. J.             Counice, B. W.               Senate amendments-","Cariton, J. J.","Counice, B. W.",both,954
"Cobb, M. R.                Crean, S. F.                 No. I-Page 2, clause 4, subclause (7), lines 33","Cobb, M. R.","Crean, S. F.",both,956
"Connolly, D. M.            Crosio, J. A.              and 34, omit ""sections 31, 32, 44, 45 and 50 and","Connolly, D. M.","Crosio, J. A.",both,957
"Darling, E. E.             paragraphs 70 (c) and 71 (b)"", substitute ""sec-","Darling, E. E.","paragraphs 70 (c) and 71 (b)"", substitute ""sec-",both,958
"Costello, P. H.            Dawkins, J. S.             tions 31 and 32 and paragraph 71 (1) (b)"".","Costello, P. H.","Dawkins, J. S.",both,959
"Dobie, J. D. M.            Duffy, M. J.                 No.2-Page 2, clause 4, subclause (8), line 37,","Dobie, J. D. M.","Duffy, M. J.",both,961
"Edwards, Harry             Duncan, P.                 omit ""33,""..","Edwards, Harry","Duncan, P.",both,962
"Fife, W. C.                Elliott,R. P.                No.3-Page 3, clause 4, after subclause (9),","Fife, W. C.","Elliott,R. P.",both,964
"Filing, P. A.              Falin, W. F.               insert the following subclause:","Filing, P. A.","Falin, W. F.",both,965
"Fischer, Tim               Fitzgibbon, E. J.               ""(9A) The amendments of the Principal Act","Fischer, Tim","Fitzgibbon, E. J.",both,967
"Fisher, Peter              Free, R. V.                  made by sections 44, 45 and 50 and paragraph","Fisher, Peter","Free, R. V.",both,968
"Gear, G. (Teller)            70 (c) apply in relation to claims lodged on or","Gear, G. (Teller)",70 (c) apply in relation to claims lodged on or,both,969
"Ford, F. A.                Gibson, G. D.                after 1 February 1991.","Ford, F. A.","Gibson, G. D.",both,970
"Gallus, C. A.              Gorman, R. N. J.             Commencement: 1 February 1991"".","Gallus, C. A.","Gorman, R. N. J.",both,971
"Goodluck, B. J.            Grace, E. L. (Teller)        No.4-Page 3, clause 4, subclause (13), line","Goodluck, B. J.","Grace, E. L. (Teller)",both,972
"Halverson, R. G. (Teller)  Griffiths, A. G.           17, after ""71"", insert ""(1)"".","Halverson, R. G. (Teller)","Griffiths, A. G.",both,973
"Hawker, D. P. M.           Hand, G. L.                  No.5-Page 22, clause 39, lines 13 to 28, omit","Hawker, D. P. M.","Hand, G. L.",both,974
"Hicks, N. J. (Teller)      Holding, A. C.             the clause.","Hicks, N. J. (Teller)","Holding, A. C.",both,975
"Hollis, C.                   No.6-Page 23, clause 44, proposed subsec-","Hollis, C.","No.6-Page 23, clause 44, proposed subsec-",both,976
"Jull, D. F.                Howe, B. L.                tion .116c (2), line 30, omit ""$5,000"", substitute","Jull, D. F.","Howe, B. L.",both,977
"Kemp, D. A.                Hulls, R. J.               ""the person's maximum reserve"".","Kemp, D. A.","Hulls, R. J.",both,978
"Humphreys, B. C.             No.7-Page 23, clause 44, proposed paragraph","Humphreys, B. C.","No.7-Page 23, clause 44, proposed paragraph",both,979
"Lloyd, B.                  Jakobsen, C. A.            116c (3) (a), line 35, omit ""$5,000"", substitute","Lloyd, B.","Jakobsen, C. A.",both,980
"McArthur, F. S.            Jenkins, H. A.             ""the person's maximum reserve"".","McArthur, F. S.","Jenkins, H. A.",both,981
"MacKellar, M. J. R.        Johns, G. T.                 No.8-Page 24, clause 44, after proposed sub-","MacKellar, M. J. R.","Johns, G. T.",both,982
"Mclachlan, I. M.           Jones, Barry               section 116c (4), insert the following subsection:","Mclachlan, I. M.","Jones, Barry",both,983
"Mack, E. C.                Kelly, R. J.                 ""'(4A) Where the Secretary is satisfied that the","Mack, E. C.","Kelly, R. J.",both,984
"Miles, C. G.               Kerin, J. C.                 application of the 4 weeks waiting period re-","Miles, C. G.","Kerin, J. C.",both,985
quired by this section will cause undue long           Mr SCIACCA (Bowman-Parliamen-,quired by this section will cause undue long,Mr SCIACCA (Bowman-Parliamen-,both,1016
term disadvantage or significant hardship to a      tary Secretary to the Minister for Social,term disadvantage or significant hardship to a,tary Secretary to the Minister for Social,both,1017
"person, the Secretary may:                          Security) (9.55)-1 move:","person, the Secretary may:",Security) (9.55)-1 move:,both,1018
(b) authorise payment of the benefit to the           That the amendments be agreed to.,(b) authorise payment of the benefit to the,That the amendments be agreed to.,both,1020
"person."".                                     The amendments agreed to by the Senate","person."".",The amendments agreed to by the Senate,both,1022
"No.9-Page 25, clause 44, at end of proposed         will impose a liquid assets test on unem-","No.9-Page 25, clause 44, at end of proposed",will impose a liquid assets test on unem-,both,1023
"subsection 116c (9), add the following definition:    ployment and sickness benefit claimants,","subsection 116c (9), add the following definition:","ployment and sickness benefit claimants,",both,1024
""" 'maximum reserve', in relation to a person,    married person without a dependent child",""" 'maximum reserve', in relation to a person,",married person without a dependent child,both,1026
"means:                                              who has more than $5,000 in liquid assets",means:,"who has more than $5,000 in liquid assets",both,1027
(a) in the case of an unmarried person without      will have to serve an additional waiting,(a) in the case of an unmarried person without,will have to serve an additional waiting,both,1028
"a dependent child-$5,000; or                  be made. A married couple or sole parent","a dependent child-$5,000; or",be made. A married couple or sole parent,both,1030
"(b) in the case of any other person-$lO,OOO."".      could have $10,000. Where the liquid as-","(b) in the case of any other person-$lO,OOO."".","could have $10,000. Where the liquid as-",both,1031
"No. 10-Page 25, clause 44, proposed section         sets test would cause long term disadvan-","No. 10-Page 25, clause 44, proposed section",sets test would cause long term disadvan-,both,1032
"116c, line 16, omit ""1 December 1990"", substi-        tage or financial hardship, the Secretary","116c, line 16, omit ""1 December 1990"", substi-","tage or financial hardship, the Secretary",both,1033
"tute ""1 February 1991"".                               to the Department of Social Security will","tute ""1 February 1991"".",to the Department of Social Security will,both,1034
"No. II-Page 25, clause 45, proposed subsec-         have a discretion to waive the waiting","No. II-Page 25, clause 45, proposed subsec-",have a discretion to waive the waiting,both,1035
"tion 117AA (2), line 23, omit ""$5,000"", substitute    period, but only for unemployment bene-","tion 117AA (2), line 23, omit ""$5,000"", substitute","period, but only for unemployment bene-",both,1036
"""the person's maximum reserve"".                       fit claimants.","""the person's maximum reserve"".",fit claimants.,both,1037
"graph 117AA(3)(a), line 29, omit ""$5,000"", sub-         The amendments will defer until 1 Feb-","graph 117AA(3)(a), line 29, omit ""$5,000"", sub-",The amendments will defer until 1 Feb-,both,1039
"stitute ""the person's maximum reserve"".               ruary 1991 the date from which no wait-","stitute ""the person's maximum reserve"".",ruary 1991 the date from which no wait-,both,1040
"No. 13-Page 26, clause 45, at end of proposed       ing period will apply for unemployment","No. 13-Page 26, clause 45, at end of proposed",ing period will apply for unemployment,both,1041
"subsection 117A (9), add the following definition:    benefit to persons who would otherwise","subsection 117A (9), add the following definition:",benefit to persons who would otherwise,both,1042
""" 'maximum reserve', in relation to a person,    ment is consequential on the deferral of",""" 'maximum reserve', in relation to a person,",ment is consequential on the deferral of,both,1044
means:                                              the introduction of the liquid assets test.,means:,the introduction of the liquid assets test.,both,1045
(a) in the case of an unmarried person without      The amendments provide that an assets,(a) in the case of an unmarried person without,The amendments provide that an assets,both,1046
"a dependent child-$5,000; or                  duced, and also included are some minor","a dependent child-$5,000; or","duced, and also included are some minor",both,1048
"(b) in the case of any other persQn-$lO,OOO."".      and technical amendments.","(b) in the case of any other persQn-$lO,OOO."".",and technical amendments.,both,1049
"117AA, line 35, omit ""1 December 1990"", sub-             Mr BRAITHWAITE (Dawson) (9.56)-","117AA, line 35, omit ""1 December 1990"", sub-",Mr BRAITHWAITE (Dawson) (9.56)-,both,1051
"stitute ""1 February 1991"".                            In speaking briefly on this matter, I note","stitute ""1 February 1991"".","In speaking briefly on this matter, I note",both,1052
"No. IS-Page 27, clause 50, line 32, omit ""1         that it is another piece of legislation that","No. IS-Page 27, clause 50, line 32, omit ""1",that it is another piece of legislation that,both,1053
"December 1990"", substitute ""1 February 1991"".         has been a casualty of the haste of prep-","December 1990"", substitute ""1 February 1991"".",has been a casualty of the haste of prep-,both,1054
"No. 16-Page 30, clause 56, paragraph (b), line      aration and presentation to this chamber","No. 16-Page 30, clause 56, paragraph (b), line",aration and presentation to this chamber,both,1055
"42, omit ""subsection"", substitute ""subsections"".      just one month ago. I ask the Govern-","42, omit ""subsection"", substitute ""subsections"".",just one month ago. I ask the Govern-,both,1056
"No. 17-Page 31, clause 56, paragraph (b),           ment again to make sure that the legisla-","No. 17-Page 31, clause 56, paragraph (b),",ment again to make sure that the legisla-,both,1057
"proposed subsection 136 (2), line 1, omit ""For"",      tive process gets a thorough review. When","proposed subsection 136 (2), line 1, omit ""For"",",tive process gets a thorough review. When,both,1058
"substitute ""Subject to subsection (2AA), for"".        the deeming process came before the","substitute ""Subject to subsection (2AA), for"".",the deeming process came before the,both,1059
"No. 18-Page 31, clause 56, page 31, para-           chamber, .the Opposition offered an","No. 18-Page 31, clause 56, page 31, para-","chamber, .the Opposition offered an",both,1060
"graph (b), after proposed subsection 136 (2), add     amendment to increase that threshold for","graph (b), after proposed subsection 136 (2), add",amendment to increase that threshold for,both,1061
the following subsection:                             married couples. The Government at that,the following subsection:,married couples. The Government at that,both,1062
""" '(2AA) For the purposes of paragraph (l) (b),  legislation intended, because married cou-",""" '(2AA) For the purposes of paragraph (l) (b),","legislation intended, because married cou-",both,1064
a person who enrols in a course is not taken to     ples were only going to get that deeming,a person who enrols in a course is not taken to,ples were only going to get that deeming,both,1065
"be so enrolled during periods of deferment.'."".     provision in regard to $2,000, which is","be so enrolled during periods of deferment.'."".","provision in regard to $2,000, which is",both,1066
"No. 19-Page 41, clause 70, paragraph (b), line      the same as applies to a single person. I","No. 19-Page 41, clause 70, paragraph (b), line",the same as applies to a single person. I,both,1067
"1, omit ""XYIA"", substitute ""XYIIA"".                   say again that there has been too much","1, omit ""XYIA"", substitute ""XYIIA"".",say again that there has been too much,both,1068
"No. 20-Page 41, clause 70, page 41, para-           haste in the presentation of this informa-","No. 20-Page 41, clause 70, page 41, para-",haste in the presentation of this informa-,both,1069
"graph (c), line 5, omit ""1 December 1990"", sub-       tion, and the legislation should be looked","graph (c), line 5, omit ""1 December 1990"", sub-","tion, and the legislation should be looked",both,1070
"stitute ""1 February 1991"".                            at more thoroughly.","stitute ""1 February 1991"".",at more thoroughly.,both,1071
"No. 21-Page 41, clause 71, paragraph (b), line","No. 21-Page 41, clause 71, paragraph (b), line",NA,both,1072
"No. 22-Page 41, clause 71, paragraph (b), line","No. 22-Page 41, clause 71, paragraph (b), line",NA,both,1074
We also understand that in the Senate       plenty of time prior to the deeming pro-,We also understand that in the Senate,plenty of time prior to the deeming pro-,both,1078
the Minister for Social Security (Senator      visions taking effect.,the Minister for Social Security (Senator,visions taking effect.,both,1079
terest rate of 10 per cent. That rate might       Question resolved in the affirmative.,terest rate of 10 per cent. That rate might,Question resolved in the affirmative.,both,1081
have been fair at the time when it was            Resolution reported; report adopted.,have been fair at the time when it was,Resolution reported; report adopted.,both,1082
"some revision now, with the downward                DATA-MATCHING PROGRAM","some revision now, with the downward",DATA-MATCHING PROGRAM,both,1084
swing. That is a matter of great concern        (ASSISTANCE AND TAX) BILL 1990,swing. That is a matter of great concern,(ASSISTANCE AND TAX) BILL 1990,both,1085
people who handle money for constitu-                           Second Reading,people who handle money for constitu-,Second Reading,both,1087
"ents who are faced with this threat.              Debate resumed from 20 December, on",ents who are faced with this threat.,"Debate resumed from 20 December, on",both,1088
motion by Mr Howe:,motion by Mr Howe:,NA,both,1089
the fact that the assets test imposition on       That the Bill be now read a second time.,the fact that the assets test imposition on,That the Bill be now read a second time.,both,1091
"Senate. Again, the Government has got             Mr PEACOCK (Kooyong) (lO.OO)-We","Senate. Again, the Government has got",Mr PEACOCK (Kooyong) (lO.OO)-We,both,1093
this lopsided idea that the family allow-      have before the House the Data-matching,this lopsided idea that the family allow-,have before the House the Data-matching,both,1094
ance is a welfare payment; it was never a      Program (Assistance and Tax) Bill 1990,ance is a welfare payment; it was never a,Program (Assistance and Tax) Bill 1990,both,1095
"welfare payment. It was a payment made         which, for the sake of brevity, I will refer",welfare payment. It was a payment made,"which, for the sake of brevity, I will refer",both,1096
as a contribution to the cost of rearing       to as the data matching Bill. After the,as a contribution to the cost of rearing,to as the data matching Bill. After the,both,1097
children to a standard normally accepted       necessary amendments that the Opposi-,children to a standard normally accepted,necessary amendments that the Opposi-,both,1098
in society. If there is a problem in Aus-      tion made in the Senate with the support,in society. If there is a problem in Aus-,tion made in the Senate with the support,both,1099
"tralia today, it is that there are not enough  of the Australian Democrats, we now see","tralia today, it is that there are not enough","of the Australian Democrats, we now see",both,1100
children being reared in that atmosphere       a much improved Bill in terms of privacy,children being reared in that atmosphere,a much improved Bill in terms of privacy,both,1101
"of home care and attention. I ask the          considerations and, therefore, we will not",of home care and attention. I ask the,"considerations and, therefore, we will not",both,1102
Government never again to look at the          be opposing it. I will focus on the provi-,Government never again to look at the,be opposing it. I will focus on the provi-,both,1103
means testing of what isa real benefit.        sions set out in part 3 of the Bill which,means testing of what isa real benefit.,sions set out in part 3 of the Bill which,both,1104
will make a number of amendments to,will make a number of amendments to,NA,both,1105
If the Government wants to see the          the Privacy Act 1988. The provisions we,If the Government wants to see the,the Privacy Act 1988. The provisions we,both,1106
reality of what happens in homes that do       find in part 3 of the data matching Bill,reality of what happens in homes that do,find in part 3 of the data matching Bill,both,1107
"not have sufficient income, it should note     have come about, as I imply, at the insti-","not have sufficient income, it should note","have come about, as I imply, at the insti-",both,1108
"the 500,000 around Australia are living        gation of the coalition parties with the","the 500,000 around Australia are living",gation of the coalition parties with the,both,1109
"in poverty. The promise of the Prime           support of the Democrats in the Senate,",in poverty. The promise of the Prime,"support of the Democrats in the Senate,",both,1110
Minister (Mr Hawke) that no child would        and I would like to pay particular tribute,Minister (Mr Hawke) that no child would,and I would like to pay particular tribute,both,1111
live in poverty by the year 1990 was going     to the lengthy work done by my colleague,live in poverty by the year 1990 was going,to the lengthy work done by my colleague,both,1112
"to be further undermined by taking away        Senator Richard Alston, the shadow Min-",to be further undermined by taking away,"Senator Richard Alston, the shadow Min-",both,1113
"the family allowance on the assets test.       ister for social security, who was instru-",the family allowance on the assets test.,"ister for social security, who was instru-",both,1114
mental in moving these amendments in,mental in moving these amendments in,NA,both,1115
Mr SCIACCA (Bowman-Parliamen-                another place.,Mr SCIACCA (Bowman-Parliamen-,another place.,both,1116
Security) (9.58)-1 will not make any              The amendments adopted in the Senate,Security) (9.58)-1 will not make any,The amendments adopted in the Senate,both,1118
"comment with respect to what the shadow        are of a far reaching nature, designed to",comment with respect to what the shadow,"are of a far reaching nature, designed to",both,1119
"Minister, the honourable member for            strengthen and to bolster the powers and","Minister, the honourable member for",strengthen and to bolster the powers and,both,1120
"Dawson (Mr Braithwaite), has said on the       functions conferred upon the Privacy","Dawson (Mr Braithwaite), has said on the",functions conferred upon the Privacy,both,1121
"family allowance, but I will say that the      Commissioner under the Privacy Act. The","family allowance, but I will say that the",Commissioner under the Privacy Act. The,both,1122
Minister for Social Security (Senator          legislation we have under consideration,Minister for Social Security (Senator,legislation we have under consideration,both,1123
"Richardson) is well aware of the position      relates, of course, to the extension of the",Richardson) is well aware of the position,"relates, of course, to the extension of the",both,1124
with interest rates. A close tab is being      tax file number system to the social secur-,with interest rates. A close tab is being,tax file number system to the social secur-,both,1125
kept on the general movement in interest       ityarea. I will not be dealing in any detail,kept on the general movement in interest,ityarea. I will not be dealing in any detail,both,1126
rates. If it seems obvious that it will be     with the reasons why the Minister for,rates. If it seems obvious that it will be,with the reasons why the Minister for,both,1127
very difficult for pensioners to obtain an     Social Security (Senator Richardson) re-,very difficult for pensioners to obtain an,Social Security (Senator Richardson) re-,both,1128
"interest rate of 10 per cent, the Minister     quires this measure. I want to focus on","interest rate of 10 per cent, the Minister",quires this measure. I want to focus on,both,1129
will make a decision as to whether that        the privacy considerations which I regard,will make a decision as to whether that,the privacy considerations which I regard,both,1130
"should be downgraded. My understanding         as all important. The Government claims,",should be downgraded. My understanding,"as all important. The Government claims,",both,1131
"is that he will make a decision at the end     of course, that such an extension will re-",is that he will make a decision at the end,"of course, that such an extension will re-",both,1132
"of January or early February, certainly in     sult in program savings of $65m for the","of January or early February, certainly in",sult in program savings of $65m for the,both,1133
year 1990-91 and $290m for the year,year 1990-91 and $290m for the year,NA,both,1134
1991-92.,1991-92.,NA,both,1135
"The data matching Bill is therefore, in-     role in this area. I went on to suggest a","The data matching Bill is therefore, in-",role in this area. I went on to suggest a,both,1138
"ter alia, designed to address the privacy      number of ways in which the Parliament","ter alia, designed to address the privacy",number of ways in which the Parliament,both,1139
"concerns associated with the proposed ex-      could play a more active role, and also",concerns associated with the proposed ex-,"could play a more active role, and also",both,1140
"tellsion of the ,tax file number system by     indicated that there appeared to be a","tellsion of the ,tax file number system by",indicated that there appeared to be a,both,1141
regulating the manner in which informa-        number of shortcomings with the existing,regulating the manner in which informa-,number of shortcomings with the existing,both,1142
tion obtained from data matching pro-          regime for the protection of privacy. The,tion obtained from data matching pro-,regime for the protection of privacy. The,both,1143
grams is to be used. The aim of these          amendments this Bill will make to the,grams is to be used. The aim of these,amendments this Bill will make to the,both,1144
"measures, namely, the minimisation of the      Privacy Act will go some way to address-","measures, namely, the minimisation of the",Privacy Act will go some way to address-,both,1145
"potential for abuse of the social security     ing those shortcomings, although it is clear",potential for abuse of the social security,"ing those shortcomings, although it is clear",both,1146
"payments system, is naturally a laudable       that further work will need to be done.","payments system, is naturally a laudable",that further work will need to be done.,both,1147
"significant impact on personal privacy, and      The history of the tax file number sys-","significant impact on personal privacy, and",The history of the tax file number sys-,both,1149
it is essential that all privacy concerns be   tem-and I have to put it bluntly-rep-,it is essential that all privacy concerns be,tem-and I have to put it bluntly-rep-,both,1150
adequately addressed. They were not when       resents a litany of broken promises on the,adequately addressed. They were not when,resents a litany of broken promises on the,both,1151
"this Bill first came before the Senate.        part of this Labor Government, and it",this Bill first came before the Senate.,"part of this Labor Government, and it",both,1152
falls upon the Commissioner and this,falls upon the Commissioner and this,NA,both,1153
"It is really a question of striking an       Parliament to act, where this Government",It is really a question of striking an,"Parliament to act, where this Government",both,1154
"appropriate balance between the need to        fails to, to protect rights of privacy. It fell",appropriate balance between the need to,"fails to, to protect rights of privacy. It fell",both,1155
"protect the revenue, which I do not deny,      to me to negotiate the legislation for the","protect the revenue, which I do not deny,",to me to negotiate the legislation for the,both,1156
and the absolute need to safeguard-indi-       tax file number with the Treasurer (Mr,and the absolute need to safeguard-indi-,tax file number with the Treasurer (Mr,both,1157
vidual rights of privacy. It is to this end    Keating). I have never disclosed publicly,vidual rights of privacy. It is to this end,Keating). I have never disclosed publicly,both,1158
that the coalition has moved the various       the nature of our private discussions and,that the coalition has moved the various,the nature of our private discussions and,both,1159
"amendments to the Privacy Act which we         I am not going to do so today, but it is",amendments to the Privacy Act which we,"I am not going to do so today, but it is",both,1160
"now find in part 3 of the data matching        as plain as a pikestaff that, from the un-",now find in part 3 of the data matching,"as plain as a pikestaff that, from the un-",both,1161
"Bill. In October of this year, the Privacy     dertakings that the Treasurer gave, what","Bill. In October of this year, the Privacy","dertakings that the Treasurer gave, what",both,1162
Commissioner issued a discussion paper         he said to me by way of private undertak-,Commissioner issued a discussion paper,he said to me by way of private undertak-,both,1163
and draft guidelines entitled Data Match-      ing was matched publicly when he said,and draft guidelines entitled Data Match-,ing was matched publicly when he said,both,1164
ing in Commonwealth Administration.            that the tax file number would not be,ing in Commonwealth Administration.,that the tax file number would not be,both,1165
That paper discusses data matching in a        extended.,That paper discusses data matching in a,extended.,both,1166
present measures under debate represent          With that good faith publicly endorsed,present measures under debate represent,With that good faith publicly endorsed,both,1168
"only one form of data matching.                time and again, we saw the need for pro-",only one form of data matching.,"time and again, we saw the need for pro-",both,1169
tecting the revenue and supported the,tecting the revenue and supported the,NA,both,1170
"In part 2 of that discussion paper, the      Government, after very extensive amend-","In part 2 of that discussion paper, the","Government, after very extensive amend-",both,1171
Privacy Commissioner surveyed a num-           ments again on privacy which the former,Privacy Commissioner surveyed a num-,ments again on privacy which the former,both,1172
"ber of existing data matching programs in      shadow Attorney-General, my predeces-",ber of existing data matching programs in,"shadow Attorney-General, my predeces-",both,1173
"Commonwealth administration, and it is         sor, the honourable member for Menzies","Commonwealth administration, and it is","sor, the honourable member for Menzies",both,1174
"apparent from the Commissioner's find-         (Mr N.A. Brown), negotiated with the",apparent from the Commissioner's find-,"(Mr N.A. Brown), negotiated with the",both,1175
