original; corrected
M'any; Many
m'ay; may
M'enzies; Menzies
M'r; Mr
Ma y 1; May I
Ma y; May
Macquariestreet; Macquarie Street
made,and; made, and
made.I; made. I
madeavailable; made available
madeby; made by
madeon; made on
madethe; made the
madewith; made with
magistratewas; magistrate was
magnificient; magnificent
main tain; maintain
maintain ing; maintaining
maintaina; maintain a
mainten ance; maintenance
maizegrowers; maize growers
MajorGeneral; Major General
mak ing; making
makeasufficientfigure; make a sufficient figure
makinga; making a
man agement; management
man ner; manner
manmade; man made
manu facturing; manufacturing
manycases; many cases
manyyears; many years
mar ginal; marginal
mar ket; market
mass ive; massive
massproduction; mass production
mat ter; matter
mat ters; matters
mattermay; matter may
mayhave; may have
MayI; May I
maytake; may take
mayvery; may very
meantthat; meant that
measureaircraft; measure aircraft
measureof; measure of
meatworks; meat works
meetIng; meeting
meetirig; meeting
Mel bourne; Melbourne
mem'ber; member
mem'bers; members
mem.ber; member
membar; member
member'squestions; member's questions
membercannot; member cannot
memberfor; member for
memberforCorinellaadvocatedthatgreater; member for Corinella advocated that greater
memberhas; member has
members.I; members. I
membersfor; members for
membershave; members have
membershaving; members having
membersof; members of
membersto; members to
memberthat; member that
memberwould; member would
men tioned; mentioned
men tions; mentions
mentionedby; mentioned by
MenziesFadden; Menzies Fadden
Menzios; Menzies
Mi nistry; Ministry
middleaged; middle aged
militaryand; military and
militarysystem; military system
Min ister's; Minister's
minDrity; minority
mineowners; mine owners
mini misation; minimisation
Mini stry; Ministry
minimis ation; minimisation
Minis ter; Minister
Ministe r; Minister
Ministerfor; Minister for
Ministerhas; Minister has
Ministerin; Minister in
MinisterinCharge; Minister in Charge
Ministerto; Minister to
Ministor; Minister
Miniter; Minister
minorimportance; minor importance
minutesago; minutes ago
misrepresenta tion; misrepresentation
mo ment; moment
Mona.ro; Monaro
moneylending; money lending
moneyto; money to
moneywhich; money which
Mor e; More
Mos t; Most
mostfavourednation; most favoured nation
mostoflhe; most of the
motionhas; motion has
mov ing; moving
move ment; movement
moveThat; move That
Mr.ACTING; Mr Acting
Mr.ARCHIE; Mr Archie
Mr.Boyd; Mr Boyd
Mr.Brennan; Mr Brennan
Mr.BRUCE; Mr Bruce
Mr.Calwell; Mr Calwell
Mr.CALWELL; Mr Calwell
Mr.Carr; Mr Carr
Mr.CASEY; Mr Casey
Mr.Charlton; Mr Charlton
Mr.CHARLTON; Mr Charlton
Mr.CHIFLEY; Mr Chifley
Mr.Chifley; Mr Chifley
Mr.Conroy; Mr Conroy
Mr.CONSIDINE; Mr Considine
Mr.Corser; Mr Corser
Mr.Cunningham; Mr Cunningham
Mr.Curtin; Mr Curtin
Mr.curtin; Mr Curtin
Mr.CURTIN; Mr. CURTIN
Mr.Deakin; Mr Deakin
Mr.DEDMAN; Mr Dedman
Mr.Deputy; Mr Deputy
Mr.F; Mr F
Mr.Fadden; Mr Fadden
Mr.Fenton; Mr Fenton
Mr.FENTON; Mr Fenton
Mr.Finlayson; Mr Finlayson
Mr.Fisher; Mr Fisher
Mr.Forde; Mr Forde
Mr.FORDE; Mr Forde
Mr.FOSTER; Mr Foster
Mr.FRANCIS; Mr Francis
Mr.Frazer; Mr Frazer
Mr.FRAZER; Mr Frazer
Mr.Fuller; Mr Fuller
Mr.GLYNN; Mr Glynn
Mr.Greene; Mr Greene
Mr.HOLLOWAY; Mr Holloway
Mr.HOLT; Mr Holt
Mr.Hughes; Mr Hughes
Mr.J; Mr J
Mr.James; Mr James
Mr.Joseph; Mr Joseph
Mr.JOSEPH; Mr. JOSEPH
Mr.Killen; Mr Killen
Mr.LAIRD; Mr Laird
Mr.LAZZARINI; Mr Lazzarini
Mr.MAHON; Mr Mahon
Mr.Mahony; Mr Mahony
Mr.Mauger; Mr Mauger
Mr.MAUGER; Mr Mauger
Mr.Maxwell; Mr Maxwell
Mr.Mc; Mr Mc
Mr.McWilliams; Mr Mcwilliams
Mr.Prowse; Mr Prowse
Mr.R; Mr R
Mr.REID; Mr Reid
Mr.Richard; Mr Richard
Mr.RILEY; Mr Riley
Mr.RIORDAN; Mr Riordan
Mr.Rodgers; Mr Rodgers
Mr.RODGERS; Mr Rodgers
Mr.Rosevear; Mr Rosevear
Mr.ROSEVEAR; Mr Rosevear
Mr.RYAN; Mr Ryan
Mr.SCULLIN; Mr Scullin
Mr.Scullin; Mr Scullin
Mr.scullin; Mr Scullin
Mr.V; Mr V
Mr.W; Mr W
Mr.WARD; Mr Ward
Mr.Watt; Mr Watt
Mr.WATT; Mr Watt
Mr.Webster; Mr Webster
Mr.WEBSTER; Mr Webster
Mr.West; Mr West
Mr.White; Mr White
Mr.Wilks; Mr Wilks
Mr.WILKS; Mr Wilks
Mr.WISE; Mr Wise
MrDEPUTY; Mr Deputy
MrLucock; Mr Lucock
MrMillarOrder; Mr Millar Order
MrSPEAKER; Mr Speaker
MrWaterhouse; Mr Waterhouse
multi tude; multitude
MurrayDarling; Murray-Darling
mustbe; must be
myown; my own
N etherlands; Netherlands
n o t ; not
N o; No
Nadonal; National
narrowminded; narrow minded
navi gation; navigation
naviga tional; navigational
nazis; Nazis
nDt; not
necesary; necessary
necessarv; necessary
necessarythat; necessary that
nego tiate; negotiate
nego tiations; negotiations
neigbouring; neighbouring
neu tral; neutral
Neverthe less; Nevertheless
New South AVales; New South Wales
NewGuinea; New Guinea
NewSouth; New South
NewsPictorial; News Pictorial
NewZealand; New Zealand
niember; member
ninepenny; nine penny
ninetenths; nine-tenths
ninetynine; ninety-nine
Nnw; New
No t; Not
noconfidence; no confidence
noknowledge; no knowledge
nonAustralian; non-Australian
nonBritish; non-British
nonclaimant; non-claimant
noncommercial; non-commercial
noncommissioned; non-commissioned
noncommittal; non-committal
nonCommunist; non-Communist
noncompliance; non-compliance
noncontentious; non-contentious
nondefence; non-defence
nonessential; non-essential
nonessentials; non-essentials
nonEuropeans; non-Europeans
nonexistent; non-existent
nonfulfilment; non-fulfilment
nonLabor; non-Labor
nonLabour; non-Labour
nonofficial; non-official
nonpartisan; non-partisan
nonparty; non-party
nonpayment; non-payment
nonpolitical; non-political
nonprofessional; non-professional
nonproliferation; non-proliferation
nonrecurring; non-recurring
nonrepayable; non-repayable
nonresidential; non-residential
nonunion; non-union
nonunionist; non-unionist
nonunionists; non-unionists
Nor mally; Normally
noreason; no reason
northsouth; north-south
northwest; north-west
northwestern; north-western
notask; not ask
notaware; not aware
notbe; not be
notbeen; not been
nothave; not have
notHing; nothing
Notice of MQtion; Notice of Motion
Notice ofMotion; Notice of Motion
noticepaper; notice paper
notin; not in
notmore; not more
notprepared; not prepared
notthe; not the
notto; not to
nowbeing; now being
nowread; now read
npt; not
numberof; number of
O f; Of
o f; of
O n; On
O r d e r; Order
o'f; of
O.B.E; OBE
ob vious; obvious
ob viously; obviously
objec tive; objective
objectioncould; objection could
obser vations; observations
obvi ous; obvious
obvi ously; obviously
Obvi ously; Obviously
occured; occurred
oceangoing; ocean-going
oCorder; of order
OEeD; OECD
of'these; of these
ofa; of a
ofage; of age
ofaged; of aged
ofAmerica; of America
ofany; of any
ofartificial; of artificial
ofassistance; of assistance
ofAustralia; of Australia
ofAustralian; of Australian
ofAustralians; of Australians
ofbiggergovernment; of bigger government
ofcertain; of certain
ofCommillees; of Committees
ofCommittees; of Committees
ofCommons; of Commons
Ofcourse; Of course
ofCustoms; of Customs
ofendlesstrouble,annoyanceandworry.; of endless trouble, annoyance and worry.
ofevidence; of evidence
offederation; of federation
offhis; off his
officcr; officer
officersI; officers I
ofFraser; of Fraser
ofGDP; of GDP
ofgoods; of goods
ofgreat; of great
ofgrowers; of growers
ofhalf; of half
ofhundreds; of hundreds
ofIncome; of Income
ofindirect; of indirect
ofInquiry; of Inquiry
ofinterest; of interest
ofits; of its
ofKampuchea; of Kampuchea
oflegislation; of legislation
oflife; of life
ofmeat; of meat
ofmonstrous; of monstrous
ofNew; of New
ofOECD; of OECD
ofoperations; of operations
oforder; of order
ofossified; of ossified
ofour; of our
ofparliamentary; of parliamentary
ofpayroll; of payroll
ofpeople; of people
ofplant; of plant
ofpolicy; of policy
ofpolitical; of political
ofprescriptions; of prescriptions
ofprotecting; of protecting
ofputting; of putting
ofrebates; of rebates
ofSchedule; of Schedule
ofShares; of Shares
ofsocial; of social
ofSocial; of Social
ofsome; of some
ofStandard; of Standard
ofstandard; of standard
ofstoppages; of stoppages
ofstrikes; of strikes
ofstudent; of student
ofsuch; of such
ofsugar; of sugar
ofthat; of that
ofthe; of the
oftheir; of their
ofthem; of them
ofthese; of these
oftheStates; of theStates
ofthis; of this
ofTransport; of Transport
oftwo; of two
ofVictoria; of Victoria
oganisation; organisation
OilRefineries; Oil Refineries
oldage; old age
Oldage; Old age
oldfashioned; old fashioned
Ombuds man; Ombudsman
oncircumstances; on circumstances
onecan; one can
oneday; one day
onefifteenth; one-fifteenth
onefifth; one-fifth
onefourth; one-fourth
onehalf; one-half
onein; one in
oneman; one man
Oneof; One of
onequarter; one-quarter
onetenth; one-tenth
onethird; one-third
onetime; one time
onlv; only
onlyby; only by
onlyone; only one
onthe; on the
Onthe; On the
onthis; on this
onWednesday; on Wednesday
onwhich; on which
op erate; operate
op eration; operation
op erations; operations
op posite; opposite
oper ations; operations
operatio,n; operation
opinionthat; opinion that
opllllOn; opinion
opoprtunity; opportunity
Oposition; Opposition
Oppo sition; Opposition
oppor tunity; opportunity
opportuni ties; opportunities
OppositionI; Opposition I
oppositionto; opposition to
Oppositiop; Opposition
oppotunities; opportunities
or ganisations; organisations
order.I; order. I
ordi nary; ordinary
ordinaryworking; ordinary working
ordoes; or does
organ isers; organisers
organ ising; organising
Organis ation; Organisation
organis ation; organisation
organis ations; organisations
orig inal; original
othercountries; other countries
otherindustries; other industries
otherpurposes; other purposes
otherswho; others who
otherwis.; otherwise
Ou r; Our
oughtto; ought to
our .objective; our objective
ourmanufacturershavedone; our manufacturers have done
ourresources; our resources
outandout; out and out
outlaid; out laid
outofpocket; out of pocket
outoftheway; out of the way
outrivaling; outrivalling
outthe; out the
overeas; overseas
overstrain; over strain
overthe; over the
overwhelm ing; overwhelming
Owin g; Owing
p olls; polls
par liament; parliament
par liamentary; parliamentary
par ticiDate; participate
par ticular; particular
Par.liament; Parliament
Parlaiment; Parliament
Parlia ment; Parliament
parlia mentary; parliamentary
Parlia mentary; Parliamentary
Parlia- ment; Parliament
Parliamcnt; Parliament
Parliamen tary; Parliamentary
Parliliment; Parliament
Parliment; Parliament
Parramattatobemore; Parramatta to be more
Parraraatta; Parramatta
partiallypaid; partially paid
particu larly; particularly
partof; part of
partsof; parts of
parttime; part-time
partv; partu
pass enger; passenger
passen ger; passenger
passionfruit; passion fruit
pastrycooks; pastry cooks
pay ing; paying
pay ments; payments
paya; pay a
payasyouearn; pay as you earn
payasyougo; pay as you go
payingthree; paying three
paymentof; payment of
payoff; pay off
pen alty; penalty
pen sioners; pensioners
pen sions; pensions
pensionincreases; pension increases
peoplc; people
people.This; people. This
peopleoutside; people outside
per fectly; perfectly
Per haps; Perhaps
per mits; permits
per sonal; personal
per sonnel; personnel
per100; per 100
perannum; per annum
perform ance; performance
perhap s; perhap s
personalty; personality
pet ition; petition
Pet ition; Petition
pet rol; petrol
pet roleum; petroleum
Peter CosteUo; Peter Costello
phenom enon; phenomenon
plan ning; planning
planthat; plan that
platelaying; plate laying
plummet ing; plummeting
pne; one
pointblank; point blank
pointout; point out
pol itical; political
Pol lution; Pollution
poli cies; policies
politicalinfluence; political influence
Pollardinterjecting; Pollard interjecting
popu larity; popularity
popu lation; population
port ing; porting
PortAugusta; Port Augusta
pos ition; position
pos sibily; possibily
poss ible; possible
poss ibly; possibly
PostmasterGeneral's; Postmaster General's
PostmasterGeneral; Postmaster General
PostmastersGeneral; Postmasters General
Postoffice; Post office
postoffice; post office
postoffices; post offices
potatogrowers; potato growers
potatogrowing; potato growing
povertystricken; poverty stricken
pow ered; powered
power ful; powerful
powershouldbegiventothecommissioner; power should be given to the commissioner
powersof; powers of
powerto; power to
pr miums; premiums
prac tised; practised
practi cal; practical
pre cise; precise
pre cisely; precisely
pre pared; prepared
pre vious; previous
pre,viously; previously
predominent; predominant
predomipant; predominant
preelection; pre-election
preeminence; pre-eminence
prefederation; pre-federation
preparedto; prepared to
presen tation; presentation
presentday; present day
presentGovernment; present Government
preventthe; prevent the
previousdiscussion; previous discussion
previouslydenied; previously denied
prevous; previous
prewar; pre-war
pri mary; primary
pri vate; private
pricefixing; price fixing
priceof; price of
Prifne; Prime
Prim e; Prime
primafacie; prima facie
primaryproducing; primary producing
PrimeMinister; Prime Minister
princi pally; principally
priorto; prior to
privatelyowned; privately owned
pro duce; produce
Pro fessor; Professor
pro posal; proposal
pro posals; proposals
pro prietors; proprietors
pro vide; provide
pro vided; provided
prob ably; probably
prob lem; problem
prob lems; problems
proceed ings; proceedings
productionof; productiono f
profitmaking; profit-making
profitsharing; profit-sharing
proj ect; project
propDsition; proposition
properl'y; properly
propertyowners; property owners
proposedto; proposed to
proposeto; propose to
propostion; proposition
Protec tion; Protection
protestirtg; protesting
provi. de; provide
providea; provide a
providedfor; provided for
providesfor; provides for
prQblems; problems
pto ductivity; productivity
pu t; put
pub lic; public
Pub lic; Public
pUblicity; publicity
publicservice; public service
PublicService; Public Service
publishedin; published in
pur pose; purpose
pur sued; pursued
purposeof; purpose of
pursestrings; purse strings
pursuaded; persuaded
put for ward; put forward
putshimself; puts himself
Puttin g; Putting
Q.C; QC
qtIestion; question
quadraplegic; quadriplegic
quantityof; quantity of
Queeusland; Queensland
Quensland; Queensland
ques tion; question
ques tioned; questioned
ques tioning; questioning
ques tions; questions
questionbeen; question been
questionof; question of
Questionresolved; Question resolved
QUestions; Questions
Quit e; Quite
quitelegible; quite legible
Quorumformed; Quorum formed
R.A.A.F; RAAF
R.M.S; RMS
R.S.L; RSL
rais ings; raisings
ran som; ransom
rankandfile; rank and file
Rankininterjecting; Rankin interjecting
rawsugar; raw sugar
re alises; realises
re ality; reality
Re ceipts; Receipts
re cent; recent
re cently; recently
re duce; reduce
re ferred; referred
re ferring; referring
re gard; regard
re garding; regarding
re gressive; regressive
re grettably; regrettably
re jection; rejection
re lated; related
re lates; relates
re lating; relating
re lation; relation
re lations; relations
Re lations; Relations
re lationship; relationship
re liance; reliance
re maining; remaining
re mains; remains
re newed; renewed
re port; report
re quirement; requirement
re quirements; requirements
re quirewithdrawal; require withdrawal
re sources; resources
re spect; respect
re spectfully; respectfully
re spond; respond
re sponsibility; responsibility
re sponsibly; responsibly
re trieval; retrieval
re veals; reveals
rea- sonable; reasonable
read ing; reading
reada; read a
realis ation; realisation
realizethat; realize that
reallv; really
reasonble; reasonable
reasonfor; reason for
reasonwhy; reason why
rec ommendations; recommendations
recentcensusisaninstanceofit-will; recent census is an instance of it - will
recieved; received
recipi ent; recipient
recog nise; recognise
recog nises; recognises
recognisethatsuchemploymentisasource; recognise that such employment is a source
recommen dation; recommendation
recommen dations; recommendations
redtape; red tape
reducethe; reduce the
reelected; re-elected
reelection; re-election
reemployed; re-employed
reemployment; re-employment
reestablish; re-establish
reestablished; re-established
reestablishment; re-establishment
Reestablishment; Re-establishment
ref erence; reference
refer ence; reference
referredto; referred to
refreshmentrooms; refreshment rooms
regardingthe; regarding the
regardscasting; regards casting
regardto; regard to
regardtotemporaryappointments,anyone; regard to temporary appointments, anyone
regress ive; regressive
regret tably; regrettably
rehetoric; rhetoric
rel evant; relevant
rela tively; relatively
render ing; rendering
Rep resentatives; Representatives
Repatri ation; Repatriation
replenish ment; replenishment
replyto; reply to
reponsibility; responsibility
Represen tatives; Representatives
Represenatives; Representatives
repu tation; reputation
requir ing; requiring
require ments; requirements
res toration; restoration
reser vations; reservations
residental; residential
respDnse; response
respon sibilities; responsibilities
respon sible; responsible
responsi bility; responsibility
responsiblity; responsibility
retrospec tive; retrospective
retumed; returned
rev enue; revenue
revenueproducing; revenue producing
revenuewhich; revenue which
Righi; Right
righthonorable; right honorable
rightsour; rights our
rightto; right to
riotcontrol; riot control
riseto; rise to
rlipid; rapid
roadmaking; road making
rollingstock; rolling stock
rungMr; rung Mr
s o; so
S ome; Some
s upporters; supporters
S.O.S; SOS
saidthat; said that
sal ary; salary
satisfac tory; satisfactory
scru tiny; scrutiny
sec ond; second
sec ondly; secondly
Sec retary; Secretary
sec tion; section
sec tions; sections
secondhand; second hand
secondreading; second reading
secondtime; second time
Secre taries; Secretaries
SecretaryGeneral; Secretary General
section6; section 6
secu tiry; security
secur ity; security
SecurityRegulations; Security Regulations
see ing; seeing
seemsto; seems to
seethat; see that
seised; seized
selec tive; selective
selfcontained; self-contained
selfdefence; self defence
selfdetermination; self determination
selfevident; self evident
selffunded; self-funded
selfgoverning; self governing
selfgovernment; self government
selfhumiliated; self humiliated
selfinflicted; self inflicted
selfinterest; self interest
selfpreservation; self preservation
selfreliance; self reliance
selfreliant; self reliant
selfrespecting; self respecting
selfsacrificing; self sacrificing
selfstyled; self styled
selfsupporting; self-supporting
semigovernment; semi-government
semigovernmental; semi governmental
semiofficial; semi official
semipolitical; semi political
semipublic; semi public
senatorfrom; senator from
SenatorRussell; Senator Russell
Sep tember; September
September1979; September 1979
ser vices; services
sergeantmajor; sergeant major
SerjeantatArms; Serjeant at Arms
servicedblocks; serviced blocks
setby; set by
setout; set out
settlemen t; settlement
Seullin; Scullin
seventyfive; seventy-five
Shakspeare; Shakespeare
shallnot; shall not
sheepfarmers; sheep farmers
shipmaster; ship master
Shipmasters; Ship masters
shorthanded; short handed
shortsighted; short sighted
shortsightedness; short sightedness
shouldbe; should be
shouldhave; should have
shouldnot; should not
showgrounds; show grounds
showthat; show that
sig nificant; significant
sig nificantly; significantly
signedarticle; signed article
sim plicity; simplicity
sincethe; since the
SirJohn; Sir John
SirJOHN; Sir John
SirWILLIAM; Sir William
SirWilliam; Sir William
Sittingsuspended; Sitting suspended
situ ation; situation
sixmonthly; six-monthly
sixtyfive; sixty-five
sixtyfour; sixty-four
slalary; salary
Smal l; Small
small,but; small, but
SmithMinister; Smith Minister
so.far; so far
socalled; so called
sofar; so far
Sofar; So far
softgoods; soft goods
sol diers; soldiers
SolicitorGeneral; Solicitor General
Som e; Some
someof; some of
Sonne; Some
sothat; so that
SouthAustralia; South Australia
SouthEast; South East
southeastern; south-eastern
SouthWales; South Wales
SouthWalespolicy; South Wales policy
southwest; south-west
SouthWest; South-West
Southwest; South-west
SPEAKEE; SPEAKER
Speaker,with; Speaker, with
Speaker.I; Speaker. I
Speakerhas; Speaker has
specif- ic; specific
Speechwhich; Speech which
SPExVKER; SPEAKER
spoonfed; spoon-fed
Spprt; Sport
standardgauge; standard gauge
startingprice; starting price
StatcJ; States
state ment; statement
StateGovernments; State Governments
statement.I; statement. I
StatementMotion; Statement Motion
statementthat; statement that
stateof; state of
Stateowned; State owned
States.It; States. It
StatesGovernments; States Governments
statutebook; statute book
StGeorge; St George
stillbe; still be
StJohn; St John
stockfeed; stock feed
stockintrade; stock in trade
stockowners; stock-owners
Straigh t; Straight
straightaway; straight away
straightout; straight out
straightway; straight way
stripperharvesters; stripper harvesters
struc ture; structure
sub ject; subject
Sub stantive; Substantive
SubCommittee; Sub-Committee
subdepartments; sub-departments
subdividers; sub-dividers
subdivisional; sub-divisional
subject.I; subject. I
subjectmatter; subject matter
subjectmatters; subject matters
subjects.may; subjects may
submitthat; submit that
substan tially; substantially
substitut ing; substituting
successfuly; successfully
sucha; such a
Suchan; Such an
suchas; such as
suffer ing; suffering
sug gesting; suggesting
sugarcane; sugar cane
sugargrowers; sugar growers
sugargrowing; sugar growing
sugarproducing; sugar producing
sugges tions; suggestions
suggestthat; suggest that
sulphurbearing; sulphur bearing
sup plement; supplement
sup port; support
superannu ation; superannuation
supplemen tary; supplementary
Surel y; Surely
SurveyorGeneral; Surveyor General
svstem; system
Swit zerland; Switzerland
Syd ney; Sydney
SYDN EYSMITH; SYDNEY SMITH
Sydnev; Sydney
sym pathetically; sympathetically
synonomous; synonymous
sys tem; system
systemin; system in
T h e y; They
T h e; The
t hat; that
t hese; these
t hrough; through
T o; To
t o; to
t r i p; trip
t r u t h; truth
T.N.T; TNT
ta-xes; taxes
takea; take a
takento; taken to
takeoff; take off
takethe; taket he
takingthe; taking the
talkabout; talk about
Tariff.There; Tariff. There
Tarilf; Tariff
Tasmaniaand; Tasmania and
Tax ation; Taxation
tax ation; taxation
taxfree; tax-free
taxincludescapitalgains; tax includes capital gains
tbat; that
tbis; this
Tech nologies; Technologies
Telephoneoffice; Telephone office
temporaryemployes-andthetakingofthe; temporary employes - and the taking of the
tend ency; tendency
tenyear; ten year
ter minal; terminal
Ter ritory; Territory
Terirtory; Territory
Th e; The
Th o; The
th'at; that
th'e; the
th'ey; they
th'is; this
th.e; the
th9; the
th:s; this
Tha t; That
tha't; that
tha.t; that
thanfive; than five
thanthey; than they
that ] will; that I will
that,as; that as
that.I; that I
that.it; that it
that1; that 1
that_; that 
thata; that a
thatall; that all
thatan; that an
thatcan; that can
thatcountry; that country
thathave; that have
thathe; that he
thatI; that I
thatif; that if
thatin; that in
thatis; that is
Thatis; That is
thatit; that it
thatno; that no
thatof; that of
thatprovision; that provision
thatState; that State
thatthe; that the
ThattheBillbe; That the Bill be
thatthere; that there
thatthese; that these
thatthey; that they
thatwas; that was
thatwe; that we
thatwhat; that what
the.salary; the salary
the11th; the 11th
the14th; the 14th
the15th; the 15th
the18th; the 18th
the1; the 1
the1st; the 1st
the9th; the 9th
tHe; the
THe; The 
the_; the 
theAct; the Act
theaddition; the addition
theambit; the ambit
theamendment; the amendment
theamount; the amount
Theanswers; The answers
theArmy; the Army
theAustralian; the Australian
thebest; the best
thebill; the bill
theBill; the Bill
Thebill; The bill
theboard; the board
theboot; the boot
thebusiness; the business
theCabinet; the Cabinet
theCanadian; the Canadian
thecases; the cases
TheCH; The CH
theChair; the Chair
theChief; the Chief
theclause; the clause
thecoal; the coal
thecommissioner; the commissioner
thecommittee; the committee
theCommon; the Common
theCommonwealth; the Commonwealth
TheCommonwealth; The Commonwealth
theCommunist; the Communist
thecommunity; the community
theConstitution; the Constitution
theconstruction; the construction
TheCorporate; The Corporate
thecost; the cost
thecountry; the country
theCourt; the Court
thecredit; the credit
theday; the day
theDefence; the Defence
theDepartment; the Department
thedeputy; the deputy
thedesire; the desire
thedifficulty; the difficulty
theduties; the duties
theduty; the duty
theeconomic; the economic
theelector'spreference; the elector's preference
theend; the end
theEnglish; the English
theestablishment; the establishment
theEstimates; the Estimates
theexisting; the existing
theexpression; the expression
thefact; the fact
theFederal; the Federal
thefigures; thefigures
thefinances; the finances
thefirst; the first
thefollowing; the following
thefreight; the freight
theGovernment; the Government
TheGovernment; The Government
theground; the ground
thegrowers; the growers
Theh; Then
thehead; the head
thehigh; the high
Thehonorabl emember; The honorable member
Thehonorable; The honorable
thehonorable; the honorable
thehonourable; the honourable
theHouse; the House
thehundreds; the hundreds
theindustrial; the industrial
theintroduction; the introduction
theirway; their way
thelabour; the labour
theLabour; the Labour
theland; the land
thelast; the last
theLeader; the Leader
thelocal; the local
them selves; themselves
them.I; them. I
themaintenance; the maintenance
themajority; the majority
Themajority; The majority
theman; the man
thematter; the matter
Thematter; The matter
themfor; them for
theMinister; the Minister
themore; the more
themost; the most
themotion; the motion
theNavy; the Navy
thenew; the new
thenhands; then hands
thenumber; the number
theonly; the only
Theonly; The only
theoperation; the operation
theopinion; the opinion
theopposition; the Opposition
theOpposition; the Opposition
theother; the other
theowners; the owners
thepaper; the paper
theParliament; the Parliament
theparty; the party
thepassing; the passing
thepayment; the payment
thepeople; the people
thepolicy; the policy
theposition; the position
thepositionisyoung; the position is young
thePost; the Post
ThePostmasterGeneral; The Postmaster General
thepower; the power
thepractice; the practice
thePremier; the Premier
thepresent; the present
thepress; the press
theprice; the price
thePrices; the Prices
thePrime; the Prime
theproblem; the problem
theproduction; the production
theproposal; the proposal
thepublic; the public
thePublic; the Public
thepurpose; the purpose
thequestion; the question
Ther e; There
There fore; Therefore
Thereare; There are
thereare; there are
Therebeing; There being
therecommendation; the recommendation
therefor; there for
thereforemove; therefore move
therehas; there has
Thereis; There is
thereis; there is
Thereisaprovisionin; There is a provision in
theremay; there may
thereport; the report
thereshould; there should
therest; the rest
therewas; there was
therewere; there were
theright; the right
therights; the rights
theRoyal; the Royal
thesame; the same
thescheme; the scheme
thesemen; the semen
theSenate; the Senate
theservice; the service
thesettlement; the settlement
theSouth; the South
theState; the State
theStates; the States
thesubject; the subject
thetable; the table
theTariff; the Tariff
theterms; the terms
theTreasurer; the Treasurer
theUnited; the United
theuse; the use
thev; they
thevery; the very
thevessels; the vessels
theVictorian; the Victorian
theWar; the War
theway; the way
thewedge; the wedge
thewelfare; the welfare
thewhole; the whole
theword; the word
thewords; the words
thework; the work
theworld; the world
theyare; they are
theyear; the year
theyhave; they have
thi3; this
thin'k; think
thinkthat; think that
thinkthe; think the
thinkwe; think we
thirtyeighth; thirty-eighth
thirtyfive; thirty-five
thirtynine; thirty-nine
thirtyninth; thirty-ninth
thirtyone; thirty-one
thirtythree; thirty-three
thirtytwo; thirty-two
thirtyyears; thirty years
thisbill; this bill
thisclause; this clause
thisCommonwealth; this Commonwealth
thisconnexion; this connexion
thiscountry; this country
thisGovernment; this Government
thisHouse; this House
thislegislation; this legislation
thismatter; this matter
thismeasure; this measure
thisobjective; this objective
thisParliament; this Parliament
thisparticular; this particular
thispurpose; this purpose
thisside; this side
thissplendid; this splendid
thissubject; this subject
thissubstantialincreaseintheJapaneseshareof; this substantial increase in the Japanese share of
thisyear; this year
tho; the
thosein; those in
thosewho; those who
Thosewho; Those who
thou sands; thousands
thoughtout; thought out
threefourths; three-fourths
threequarters; three-quarters
threeyear; three year
threeyears; three years
throughoutAustralia; throughout Australia
thug gery; thuggery
time.I; time. I
timecivil; time civil
timehonoured; time honoured
timein; time in
timejustify; time justify
timeoff; time off
tliehonorabletlieMinister; the honourable Minister
tne; the
to l i f t; to lift
toact; to act
toadvise; to advise
toallow; to allow
toascertain; to ascertain
toask; to ask
toattend; to attend
tobaccogrowers; tobacco growers
tobaccogrowing; tobacco growing
tobe; to be
tobring; to bring
tocarry; to carry
tocome; to come
TodayI; Today I
todayWaterhouse; today Waterhouse
todeal; to deal
todecide; to decide
todiscuss; to discuss
todllY; today
todo; to do
toenable; to enable
toexercise; to exercise
tofind; to find
toget; to get
togive; to give
togo; to go
tohave; to have
tohim; to him
tohis; to his
tohonorable; to honorable
toimprove; to improve
toinclude; to include
toinvoke; to invoke
toit; to it
toknow; to know
tolearn; to learn
tomake; to make
TomBurke; Tom Burke
tomeet; to meet
tomove; to move
tomy; to my
Tomy; To my
toobtain; to obtain
topass; to pass
topay; to pay
toprevent; to prevent
toproceed; to proceed
toprovide; to provide
toput; to put
toRed; to Red
torequire; to require
tosay; to say
tosecure; to secure
tosee; to see
toserve; to serve
toshut; to shut
tospeak; to speak
tostate; to state
tosubmit; to submit
tosupply; to supply
totake; to take
tothat; to that
tothe; to the
totheir; to their
tothem; to them
tothis; to this
totime; to time
toto; to to
tous; to us
toWestern; to Western
towhich; to which
towork; to work
toyour; to your
tra dition; tradition
tracklaying; track-laying
tradertotrader; trader to trader
tradeunion; trade union
Training Vnit; Training Unit
TransAustralia; Trans-Australia
TransAustralian; Trans-Australian
transpDrt; transport
travel over seas; travel overseas
Treasuer; Treasurer
TreasurerMr; Treasurer Mr
treasurybills; treasury bills
Treasurybills; Treasury bills
treefelling; tree felling
treefruitgrowers; tree-fruit growers
tremen dous; tremendous
Tri bunal; Tribunal
tri bunal; tribunal
tri bunals; tribunals
triedto; tried to
trms; terms
truecourse; true course
Tt; It
twentyeight; twenty-eight
twentyfive; twenty-five
twentyfour; twenty four
twentynine; twenty-nine
twentyone; twenty-one
